,kingdom,phylum,class,order,family,genus,species
08fb66aa32c2519d5609af0162f13e3a,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium leucospermi
86a597404a2a32ab556f2678a47aa5f9,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Endoconidioma,Endoconidioma populi
01d1187dbf89b0d27da68fb8f30eb6be,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Porodiplodiaceae,NA,[Chalara] clidemiae
09e6c279dc4322e6b21a4b5574cbf4b8,Eukaryota,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,NA
1555b327cbad356fccb69c0273d17cd9,Eukaryota,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Golovinomyces,Golovinomyces macrocarpus
04771623e8701e0987ce59fb81c8e463,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Comoclathris,Comoclathris lini
cc99f0ec250e40d8e5d4eb57351a433c,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Didymocyrtis,Didymocyrtis banksiae
f2835c1f7532d1abb876b7a29b9c9b82,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
02c11ffb25290328046529f33aa44873,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
5d81437ccb3ee21f47616efd3b797721,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
3c979af0c75c5b1fa7f7b254e60e8953,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
25470b4a2ff952bc05dbc9a23e23c6a6,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
33c5991f8708235f3ef58f9df943abf9,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
65dcd2df5abe62e88b5bbda8c0663631,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
d3454c8f42a4f0d507a6467da996cc39,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
81d4a92678afe8b3567ddf078c2aa09e,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
2bd4fa612e10a540ecdbb8051424dc60,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
16c00bd2610784544e0f7f8b4715e7ec,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
a4210eb27910fa499d1aab72c92e5160,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
7f360a93c5de98a0d25009d202891eb9,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
